longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0.211155,0.567481,0.784314,0.0223307,0.0198634,0.00894083,0.0205558,0.539668,452600,0.75
0.212151,0.565356,0.392157,0.180503,0.171477,0.0672104,0.186976,0.538027,358500,0.75
0.210159,0.564293,1,0.0372603,0.0293296,0.0138177,0.0289426,0.466028,352100,0.75
0.209163,0.564293,1,0.0323516,0.0363128,0.0155554,0.0358494,0.354699,341300,0.75
0.209163,0.564293,1,0.0413297,0.0432961,0.0157516,0.0424272,0.230776,342200,0.75
0.209163,0.564293,1,0.0233227,0.0328988,0.0114914,0.0315738,0.243921,269700,0.75
0.209163,0.563231,1,0.0644234,0.0757294,0.0305782,0.0843611,0.217873,299200,0.75
0.209163,0.563231,1,0.0788952,0.106456,0.032344,0.106233,0.180694,241400,0.75
0.208167,0.563231,0.803922,0.0649321,0.103042,0.0337173,0.0976813,0.108998,226700,0.75
0.209163,0.563231,1,0.0902131,0.109559,0.0433869,0.11725,0.220087,261100,0.75
0.208167,0.564293,1,0.055954,0.0671943,0.0254211,0.0659431,0.186425,281500,0.75
0.208167,0.564293,1,0.0890432,0.116543,0.0420696,0.120539,0.191073,241800,0.75
0.208167,0.564293,1,0.0633043,0.0734016,0.0306903,0.0767966,0.177591,213500,0.75
0.208167,0.563231,1,0.0176509,0.0294848,0.00958547,0.0284493,0.149908,191300,0.75
0.208167,0.564293,1,0.0671703,0.0969894,0.0338855,0.101792,0.097709,159200,0.75
0.208167,0.564293,0.960784,0.0284348,0.0437616,0.0194512,0.0432495,0.112074,140000,0.75
0.207171,0.564293,1,0.0499517,0.0536934,0.0221419,0.0542674,0.156901,152500,0.75
0.207171,0.564293,1,0.0311816,0.0453135,0.0180779,0.0496629,0.111743,155500,0.75
0.208167,0.563231,0.960784,0.0568951,0.0704531,0.0276633,0.0687387,0.10284,158700,0.75
0.207171,0.563231,1,0.0381759,0.0460894,0.019255,0.0450584,0.14506,162900,0.75
0.207171,0.564293,0.764706,0.0190498,0.0283985,0.0113792,0.0271337,0.0591647,147500,0.75
0.207171,0.564293,0.803922,0.0416349,0.056797,0.0259536,0.060023,0.0836954,159800,0.75
0.207171,0.563231,1,0.0619055,0.0837989,0.028364,0.078441,0.0844885,113900,0.75
0.207171,0.563231,1,0.0428811,0.0521415,0.0238235,0.0532807,0.115909,99700,0.75
0.207171,0.563231,1,0.0565136,0.0676598,0.0281118,0.069232,0.144832,132600,0.75
0.206175,0.564293,0.784314,0.0135561,0.0189323,0.0088007,0.0194047,0.131302,107500,0.75
0.206175,0.564293,0.941176,0.0286892,0.0377095,0.0169287,0.0391383,0.135157,93800,0.75
0.206175,0.564293,1,0.0482222,0.0651769,0.0308024,0.0651209,0.0902125,105500,0.75
0.206175,0.563231,0.960784,0.052902,0.0761949,0.0316152,0.0776188,0.078792,108900,0.75
0.206175,0.563231,1,0.0184903,0.0246741,0.0109869,0.0253248,0.0819023,132000,0.75
0.206175,0.563231,0.941176,0.04868,0.0692117,0.0241038,0.0619964,0.0984469,122300,0.75
0.206175,0.563231,1,0.0547078,0.0744879,0.0326523,0.0723565,0.100799,115200,0.75
0.207171,0.563231,0.921569,0.0488326,0.0633147,0.0286723,0.0549252,0.089447,110400,0.75
0.207171,0.562168,0.941176,0.0420418,0.0566418,0.0210488,0.0539385,0.0603509,104900,0.75
0.207171,0.562168,0.980392,0.0677298,0.0889199,0.0351748,0.087979,0.153819,109700,0.75
0.207171,0.562168,0.941176,0.030851,0.0436065,0.0158917,0.0432495,0.0680129,97200,0.75
0.207171,0.562168,0.921569,0.0456788,0.0668839,0.0275792,0.0613386,0.0411925,104500,0.75
0.206175,0.562168,1,0.0383794,0.0603662,0.0251689,0.0661075,0.0627853,103900,0.75
0.208167,0.562168,1,0.0373366,0.0510552,0.019227,0.0506496,0.205521,191400,0.75
0.208167,0.562168,1,0.0618038,0.110801,0.03851,0.11429,0.144129,176000,0.75
0.208167,0.562168,1,0.0422961,0.0648665,0.0264301,0.064792,0.110198,155400,0.75
0.208167,0.562168,0.980392,0.023755,0.0481068,0.0144062,0.0407828,0.0541579,150000,0.75
0.208167,0.563231,0.941176,0.0180833,0.0311918,0.0128647,0.030916,0.0362133,118800,0.75
0.208167,0.563231,1,0.0241111,0.0311918,0.0130048,0.032396,0.238921,188800,0.75
0.208167,0.562168,1,0.0366499,0.0481068,0.0184142,0.047854,0.17328,184400,0.75
0.208167,0.562168,1,0.0420672,0.0650217,0.0200398,0.0626542,0.150129,182300,0.75
0.208167,0.562168,0.960784,0.028562,0.0498138,0.017181,0.0498273,0.105247,142500,0.75
0.207171,0.561105,0.823529,0.0255608,0.0482619,0.0155554,0.0414406,0.0851643,137500,0.75
0.208167,0.561105,0.764706,0.0158197,0.0301055,0.0117716,0.026147,0.0310823,187500,0.75
0.207171,0.561105,0.764706,0.0240094,0.0580385,0.0195353,0.0577208,0.0879367,112500,0.75
0.207171,0.561105,0.392157,0.0227377,0.0701428,0.0205163,0.0718632,0.0290962,171900,0.75
0.207171,0.561105,0.823529,0.0474592,0.0706083,0.0296533,0.0667653,0.0692818,93800,0.75
0.207171,0.561105,0.784314,0.0818709,0.132216,0.0548222,0.118237,0.0421305,97500,0.75
0.207171,0.561105,1,0.041406,0.0706083,0.0324841,0.0656142,0.0515579,104200,0.75
0.206175,0.561105,1,0.0297065,0.0363128,0.0195633,0.0381516,0.0765438,87500,0.75
0.206175,0.561105,1,0.0239839,0.0375543,0.0160599,0.0360138,0.0628543,83100,0.75
0.206175,0.561105,1,0.031436,0.0445376,0.0173491,0.0424272,0.0693646,87500,0.75
0.206175,0.561105,1,0.0378198,0.0518312,0.0203201,0.0399605,0.0218825,85300,0.75
0.206175,0.561105,1,0.0352256,0.0527623,0.0300177,0.0498273,0.0494614,80300,0.75
0.205179,0.561105,0.0196078,0.00396765,0.00651769,0.00255052,0.00920901,0.142246,60000,0.75
0.205179,0.562168,1,0.0284602,0.0325885,0.0154433,0.0305871,0.199514,75700,0.75
0.205179,0.561105,0.941176,0.00338267,0.00434513,0.0023263,0.00361783,0.387471,75000,0.75
0.205179,0.560043,0.960784,0.0192787,0.0293296,0.0104824,0.019898,0.0276686,86100,0.75
0.204183,0.560043,1,0.0310799,0.0366232,0.0145183,0.0259826,0.0476614,76100,0.75
0.204183,0.560043,0.921569,0.0210082,0.0280881,0.0109028,0.021707,0.144405,73500,0.75
